Evento,Nombre,Apellido,Pais,Arrancada,Dos_Tiempos,Total,Año,Género
59 kg (30.05),Ine,Andersson,Noruega,90.0,118.0,208.0,2022,Femenino
64 kg (31.05),Vicky,Graillot,Francia,89.0,119.0,208.0,2022,Femenino
71 kg (01.06),Monika,Marach,Polonia,99.0,116.0,215.0,2022,Femenino
76 kg (02.06),Dilara,Ucan,Turquía,99.0,121.0,220.0,2022,Femenino
81 kg (03.06),Dilara,Narin,Turquía,99.0,133.0,232.0,2022,Femenino
87 kg (04.06),Anastasiya,Hotfrid,Georgia,106.0,129.0,235.0,2022,Femenino
+87 kg (05.06),Sarah,Fischer,Austria,102.0,128.0,230.0,2022,Femenino
55 kg (16.04),Valentin,Iancu,Rumania,109.0,136.0,245.0,2023,Masculino
61 kg (16.04),Ivan,Dimov,Bulgaria,127.0,150.0,277.0,2023,Masculino
67 kg (17.04),Kaan,Kahriman,Turquía,141.0,160.0,301.0,2023,Masculino
73 kg (18.04),Mirko,Zanni,Italia,155.0,180.0,335.0,2023,Masculino
81 kg (19.04),Rafik,Harutiunian,Armenia,150.0,187.0,337.0,2023,Masculino
89 kg (20.04),Marin,Robu,Moldavia,166.0,198.0,364.0,2023,Masculino
96 kg (21.04),Cristiano,Ficco,Italia,165.0,198.0,363.0,2023,Masculino
102 kg (22.04),Tudor,Bratu,Moldavia,170.0,204.0,374.0,2023,Masculino
109 kg (22.04),Petros,Petrosian,Armenia,165.0,214.0,379.0,2023,Masculino
+109 kg (23.04),Simon,Martirosian,Armenia,195.0,245.0,440.0,2023,Masculino
45 kg (15.04),Marta,García Rincón,España,68.0,85.0,153.0,2023,Femenino
49 kg (15.04),Anhelina,Lomachynska,Ucrania,81.0,95.0,176.0,2023,Femenino
55 kg (16.04),Izabella,Yailian,Armenia,87.0,109.0,196.0,2023,Femenino
59 kg (17.04),Nadiya,Shpylka,Ucrania,93.0,114.0,207.0,2023,Femenino
64 kg (18.04),Zoe,Smith,Reino Unido,93.0,121.0,214.0,2023,Femenino
71 kg (19.04),Sarah,Davies,Reino Unido,100.0,126.0,226.0,2023,Femenino
76 kg (20.04),Daniela,Ivanova,Letonia,96.0,126.0,222.0,2023,Femenino
81 kg (21.04),Elena,Erighina,Moldavia,104.0,130.0,234.0,2023,Femenino
87 kg (22.04),Hripsime,Jurshudian,Armenia,107.0,120.0,227.0,2023,Femenino
